id,latitude,longitude,label
pt_001,21.598896,78.893018,known_deposit
pt_002,21.405766,79.233922,known_deposit
pt_003,21.65033,80.013923,known_deposit
pt_004,21.732855,78.999535,known_deposit
pt_005,21.483619,78.901251,known_deposit
pt_006,21.375878,79.719211,known_deposit
pt_007,21.274064,79.192001,known_deposit
pt_008,21.604439,79.787299,known_deposit
pt_009,21.376834,79.863537,known_deposit
pt_010,21.688998,78.861178,known_deposit
pt_011,21.687084,80.0508,known_deposit
pt_012,21.440333,79.117425,known_deposit
pt_013,21.767323,79.428943,known_deposit
pt_014,21.309155,79.016352,known_deposit
pt_015,21.709172,79.888409,known_deposit
pt_016,21.687778,80.105139,known_deposit
pt_017,21.544201,80.523759,known_deposit
pt_018,21.460623,79.79951,known_deposit
pt_019,21.699584,79.913854,known_deposit
pt_020,21.716705,79.843046,known_deposit
pt_021,21.633423,78.928818,known_deposit
pt_022,21.380786,79.347747,known_deposit
pt_023,21.30229,79.2504,known_deposit
pt_024,21.313531,79.328115,known_deposit
pt_025,21.596913,79.477511,known_deposit
pt_026,21.456196,79.210352,known_deposit
pt_027,21.401498,80.461046,known_deposit
pt_028,21.603459,79.897705,known_deposit
pt_029,21.350703,80.104098,known_deposit
pt_030,21.346603,79.502663,known_deposit
pt_031,21.784447,79.9508,known_deposit
pt_032,21.555183,80.027537,known_deposit
pt_033,21.706712,80.18472,known_deposit
pt_034,21.381395,78.905212,known_deposit
pt_035,21.42719,79.310514,known_deposit
pt_036,21.371821,80.471805,known_deposit
pt_037,21.724475,79.391246,known_deposit
pt_038,21.607382,79.530487,known_deposit
pt_039,21.74471,79.639225,known_deposit
pt_040,21.400386,79.274199,known_deposit
pt_041,21.557525,79.301916,known_deposit
pt_042,21.569831,80.394255,known_deposit
pt_043,21.471682,79.227232,known_deposit
pt_044,21.788695,79.726385,known_deposit
pt_045,21.308182,78.93104,known_deposit
pt_046,21.318114,79.929207,known_deposit
pt_047,21.679802,79.576115,known_deposit
pt_048,21.29367,79.506385,known_deposit
pt_049,21.787944,79.760077,known_deposit
pt_050,21.774672,80.330541,known_deposit
pt_051,21.266085,80.089642,known_deposit
pt_052,21.621306,79.773589,known_deposit
pt_053,21.401417,79.952454,known_deposit
pt_054,21.319123,79.597796,known_deposit
pt_055,21.500474,80.490563,known_deposit
