B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,SCL,QA60,VV,VH,HH,HV,angle,elevation,manganese_proxy,label
612.0,699.5,978.0,961.0,1474.0,2190.5,2477.5,2523.0,2653.0,2718.0,2311.0,1523.0,5.0,0.0,-10.639692657376868,-17.089864665140816,0.0,0.0,32.549034118652344,308.0,0.001588895,1
543.1111111111111,568.36,815.5294117647059,738.0909090909091,981.75,1072.6666666666667,1167.0,1056.6666666666667,1038.6666666666667,1480.75,785.3333333333334,465.0,5.0,0.0,-16.964346643000503,-24.55907320925258,0.0,0.0,33.020042419433594,309.0,0.0070777396,1
322.0,404.0,653.0,578.0,1066.0,1949.0,2212.0,2307.0,2487.0,2470.0,1617.0,885.0,4.0,0.0,-9.266593931717333,-16.551601193812484,0.0,0.0,43.354591369628906,559.0,0.027493838,1
691.5,829.5,1017.0,1105.5,1337.0,2012.0,2281.5,2235.0,2417.5,2708.5,2029.5,1446.0,5.0,0.0,-11.157115552079475,-18.089465816753716,0.0,0.0,32.63028335571289,317.0,0.0021271375,1
377.5,427.0,626.5,481.5,1024.5,2273.5,2735.0,2872.5,2998.0,2650.5,1883.0,932.5,4.0,0.0,-8.008692803214412,-13.859656063609116,0.0,0.0,31.80710792541504,540.0,0.037588783,1
324.0,359.0,502.0,479.0,798.0,1526.0,1748.0,1876.0,2022.0,2234.5,1395.0,682.0,4.0,0.0,-7.744670144557739,-15.084448443740849,0.0,0.0,32.21770477294922,595.0,0.023977395,1
542.7142857142857,798.5714285714286,1001.5,1033.0,1519.2,2200.6666666666665,2471.5,2583.0,2683.0,2725.5,2673.285714285714,1748.25,5.0,0.0,-10.819988078476543,-16.804542885471577,0.0,0.0,33.11561965942383,317.0,0.00906181,1
855.0,1101.0,1377.0,1585.5,1870.0,2288.5,2462.0,2442.5,2577.5,2741.5,2870.0,2393.5,5.0,0.0,-10.397103089280076,-16.94775821559457,0.0,0.0,33.02360534667969,322.0,0.019687317,1
578.0,677.0,875.0,924.5,1344.0,1953.5,2301.5,2348.0,2344.5,2490.0,2069.0,1514.5,5.0,0.0,-10.468226717173886,-16.83822829049076,0.0,0.0,32.30439758300781,303.0,0.00097640895,1
346.0,394.0,566.0,543.0,898.0,1615.0,1900.0,1944.0,2248.0,2282.0,1805.0,1173.0,4.0,0.0,-9.389472359873274,-16.53659036408783,0.0,0.0,31.440692901611328,639.0,0.00045256456,1
605.2857142857143,609.3333333333334,822.5,887.0,1286.25,1797.4,1994.0,2037.0,2211.0,2527.5555555555557,1910.5,1366.0,5.0,0.0,-9.056528841290358,-17.345460818097674,0.0,0.0,33.169097900390625,311.0,0.005653488,1
717.0,890.0,1195.0,1450.0,1816.5,2583.0,2883.5,3092.5,3223.5,3146.0,3520.5,2576.0,5.0,0.0,-12.006087378191769,-19.334940161527918,0.0,0.0,33.04762268066406,303.0,0.024571113,1
424.0,490.0,724.0,701.0,1149.0,1788.0,1995.0,2061.0,2256.0,2555.0,2444.0,1705.0,5.0,0.0,-9.601259452260765,-16.504164868911435,0.0,0.0,31.260196685791016,641.0,0.021385293,1
627.5,707.0,964.5,896.0,1403.5,2215.5,2539.0,2618.0,2720.5,2773.0,1987.5,1153.5,5.0,0.0,-10.850997630271355,-17.38830763222235,0.0,0.0,32.884674072265625,305.0,0.0155282365,1
590.5,687.0,902.0,987.5,1348.0,1974.0,2221.5,2231.0,2405.0,2398.0,1995.0,1449.5,5.0,0.0,-9.88820503027734,-17.289318097943934,0.0,0.0,32.68317413330078,311.0,0.0021625988,1
610.3,661.7142857142857,930.0,985.3333333333334,1376.2,2071.3333333333335,2339.714285714286,2448.4285714285716,2592.3333333333335,2646.8333333333335,2348.0,1592.0,5.0,0.0,-10.806810552187827,-16.887382191793133,0.0,0.0,33.1649055480957,305.0,0.0076071685,1
661.0,830.0,1095.0,1176.0,1579.0,2251.0,2498.0,2644.0,2735.0,2878.0,2907.0,2010.0,5.0,0.0,-10.13204977268302,-16.620575552507546,0.0,0.0,32.88536071777344,312.0,0.016513763,1
619.0,806.0,1106.0,1358.0,1650.0,2131.0,2346.0,2571.0,2693.0,2634.0,3558.0,2611.0,5.0,0.0,-11.922494351825684,-17.98646632013029,0.0,0.0,31.637248992919922,615.0,0.042607963,1
888.0,1037.0,1415.0,1733.0,2197.0,2547.0,2781.0,2794.0,2965.0,2868.0,3656.0,2667.0,5.0,0.0,-11.445546506467727,-20.04494274097773,0.0,0.0,32.82420349121094,303.0,0.038711455,1
304.5,337.0,456.0,435.0,825.5,1710.5,2119.5,2207.5,2338.5,2530.0,1596.0,946.5,4.0,0.0,-5.184812283560781,-12.344572975649125,0.0,0.0,31.071550369262695,664.0,0.02442719,1
356.5,381.0,587.0,398.5,880.0,2299.0,2760.5,3003.0,2988.5,2711.0,1648.0,808.5,4.0,0.0,-9.479868874753405,-15.909616498298167,0.0,0.0,31.96891212463379,360.0,0.0525091,1
484.0,537.0,728.0,649.0,1195.0,2045.0,2381.0,2472.0,2589.0,2816.0,2021.0,1206.0,4.0,0.0,-9.097955811440304,-15.422808561118943,0.0,0.0,33.99993133544922,336.0,0.012089746,1
662.0,783.0,983.0,999.5,1342.0,2123.5,2461.0,2508.0,2600.5,2700.5,2418.5,1809.0,5.0,0.0,-7.4015440572114315,-14.14220186718946,0.0,0.0,32.27397918701172,309.0,0.0032305352,1
537.0,630.5,835.5,851.0,1244.5,2091.5,2387.0,2497.0,2681.5,2373.0,2074.0,1329.0,5.0,0.0,-9.148987275996546,-15.487561277509979,0.0,0.0,33.22283172607422,339.0,0.00704723,1
313.5,354.5,486.5,374.0,799.5,1864.5,2219.5,2327.5,2488.5,2617.5,1513.0,697.0,4.0,0.0,-5.721987730597419,-12.787055065303182,0.0,0.0,32.31550598144531,609.0,0.039848093,1
339.0,363.0,522.0,412.0,880.0,1605.0,1944.0,2113.0,2268.0,2383.0,1638.0,854.0,4.0,0.0,-8.008443259819568,-15.053086390801138,0.0,0.0,31.65066909790039,619.0,0.020489987,1
369.5,442.5,619.5,513.5,923.0,1852.5,2161.0,2291.0,2404.5,2377.0,1600.5,740.0,4.0,0.0,-7.812731384024011,-15.256254220927552,0.0,0.0,32.41983413696289,353.0,0.032075584,1
561.5,702.5,981.5,1138.0,1624.0,2296.5,2589.5,2776.5,3020.0,2696.5,3405.5,2374.0,5.0,0.0,-9.411873379679838,-16.010362594968527,0.0,0.0,31.534706115722656,598.0,0.030834157,1
633.0,805.0,1092.0,1325.0,1727.0,2083.0,2327.0,2369.0,2519.0,2621.0,3191.0,2360.0,5.0,0.0,-10.605095082611566,-18.542160635287026,0.0,0.0,33.05295181274414,344.0,0.038838368,1
635.25,824.6666666666666,1096.4,1235.6666666666667,1747.5,2481.0,2775.5714285714284,2905.6666666666665,3110.5,2938.25,3241.0,2265.6666666666665,5.0,0.0,-11.481258669630733,-17.90045103236354,0.0,0.0,32.99095916748047,313.0,0.019491894,1
317.0,373.0,527.0,426.0,836.0,1936.0,2269.0,2429.0,2515.0,2535.0,1609.0,792.0,4.0,0.0,-7.971328954323468,-14.751477135673124,0.0,0.0,32.28406524658203,588.0,0.03679179,1
344.0,439.0,606.0,522.0,943.0,1791.0,2090.0,2281.0,2345.0,2295.0,1756.0,986.0,4.0,0.0,-8.01868232384105,-15.088625947354217,0.0,0.0,32.307132720947266,565.0,0.01872749,1
718.5,857.5,1109.5,1215.5,1692.0,2436.5,2743.5,2839.5,3019.0,2897.0,2989.0,2084.0,5.0,0.0,-11.133326973792384,-19.02665245465542,0.0,0.0,32.43946075439453,304.0,0.013057967,1
313.0,362.5,500.5,456.0,891.0,1663.5,1949.0,2019.5,2246.0,2346.0,1675.5,836.0,4.0,0.0,-9.127196838240792,-15.134551638129881,0.0,0.0,31.085655212402344,738.0,0.013992304,1
313.5,368.5,570.0,391.5,924.0,2120.0,2494.0,2661.0,2728.0,2511.0,1594.0,774.0,4.0,0.0,-7.0509002047983875,-13.600777274887644,0.0,0.0,32.37015151977539,603.0,0.045548197,1
613.0,795.5,1191.5,1338.5,1847.0,2594.5,2863.5,2940.0,3079.5,3122.5,3415.5,2679.0,5.0,0.0,-12.270437748814235,-18.792533801216813,0.0,0.0,31.64902687072754,578.0,0.02573586,1
672.5,905.0,1196.5,1442.0,1841.0,2410.5,2696.0,2806.5,2995.5,2789.0,3461.5,2574.5,5.0,0.0,-11.182035694021492,-18.493736283361706,0.0,0.0,31.86007308959961,318.0,0.029642109,1
679.0,783.0,1075.3333333333333,1197.0,1504.5,2337.0,2630.0,2854.0,2936.0,2958.4,2707.3333333333335,1846.0,5.0,0.0,-10.48836967235024,-16.5246246632423,0.0,0.0,33.72761154174805,332.0,0.007947805,1
627.0,825.5,1167.5,1326.5,1793.5,2536.0,2795.0,2891.5,3057.5,2929.5,3228.5,2305.5,5.0,0.0,-10.879946058386556,-17.210695077243383,0.0,0.0,32.21881103515625,306.0,0.022796035,1
606.0,644.5,894.0,902.5,1396.0,2147.0,2471.0,2580.5,2702.0,2705.0,1894.5,1198.0,5.0,0.0,-10.944038238028234,-18.23875175251626,0.0,0.0,32.13198471069336,304.0,0.015738564,1
697.5,940.0,1254.0,1523.5,2010.0,2511.5,2804.0,2989.5,3157.5,3054.0,3677.0,2703.0,5.0,0.0,-12.718042036434731,-19.452175026769208,0.0,0.0,32.13355255126953,310.0,0.03069283,1
401.0,490.0,682.0,891.0,1248.0,1746.0,1983.0,2141.0,2178.0,2459.0,2767.0,1964.0,5.0,0.0,-10.045862838514172,-16.225970050360356,0.0,0.0,31.053386688232422,617.0,0.041834846,1
667.0,750.0,966.0,1032.0,1510.0,2248.0,2598.0,2777.0,2814.0,2771.0,2626.0,1675.0,5.0,0.0,-10.814005410295142,-16.636933745429303,0.0,0.0,32.644290924072266,301.0,0.0039331717,1
337.0,398.0,571.0,528.0,894.0,1785.0,2066.0,2294.0,2320.0,2347.0,1638.0,868.0,4.0,0.0,-7.387908013345324,-14.794296782364881,0.0,0.0,32.164676666259766,567.0,0.027106488,1
368.0,449.0,626.0,642.0,1039.0,1720.0,2009.0,2150.0,2290.0,2270.0,1753.0,1048.0,4.0,0.0,-8.100617697258535,-15.007422285456585,0.0,0.0,31.59574317932129,621.0,0.009769919,1
360.0,379.0,587.0,491.0,927.0,1840.0,2159.0,2386.0,2408.0,2339.0,1777.0,937.0,4.0,0.0,-5.908015135804325,-12.632689146657643,0.0,0.0,31.75318717956543,583.0,0.024261607,1
353.0,434.0,616.0,745.0,1180.0,1615.0,1815.0,1865.0,2044.0,2354.0,2300.0,1644.0,5.0,0.0,-10.054533707763886,-17.134144176772438,0.0,0.0,30.825857162475586,636.0,0.0335247,1
644.0,764.0,966.0,1174.0,1532.0,1908.0,2144.0,2301.0,2491.0,2526.0,3098.0,2192.0,5.0,0.0,-9.645605830394214,-17.80493707858065,0.0,0.0,32.777252197265625,318.0,0.035727642,1
543.0,650.0,953.0,1178.0,1574.0,1988.0,2242.0,2303.0,2436.0,2074.0,2242.0,1643.0,5.0,0.0,-15.803912748305297,-22.102711852085132,0.0,0.0,30.861530303955078,618.0,0.018121865,1
342.0,390.0,517.0,450.0,881.0,1725.0,2059.0,2169.0,2349.0,2309.0,1527.0,844.0,4.0,0.0,-7.050352509969597,-14.38775170965241,0.0,0.0,31.911334991455078,587.0,0.02678517,1
529.0,552.0,730.0,734.0,1210.0,1982.0,2300.0,2324.0,2546.0,2478.0,2392.0,1550.0,4.0,0.0,-8.96539373406905,-17.392127438167368,0.0,0.0,33.24074172973633,326.0,0.00854733,1
524.0,521.0,731.0,807.0,1177.0,1755.0,2078.0,2049.0,2258.0,2378.0,2146.0,1538.0,5.0,0.0,-9.61124679702176,-16.50041179020932,0.0,0.0,30.88726043701172,608.0,0.014987628,1
539.0,583.0,850.0,961.0,1412.0,2030.0,2479.0,2497.0,2744.0,2750.0,2699.0,1840.0,5.0,0.0,-10.222584139770287,-16.848222547386015,0.0,0.0,30.873062133789062,619.0,0.02080693,1
434.0,504.5,696.0,666.0,1204.5,1862.0,2100.0,2277.0,2286.0,2343.0,2111.0,1222.0,4.0,0.0,-7.80105036011731,-15.418994069200037,0.0,0.0,32.44400405883789,348.0,0.00018462265,1
670.3,745.1666666666666,994.0,1179.5,1517.5,2038.25,2332.0,2400.0,2584.0,2585.4285714285716,2388.0,1618.0,5.0,0.0,-9.628907611596668,-15.400633173201268,0.0,0.0,33.510902404785156,293.0,0.014698073,1
658.0,701.0,895.0,905.0,1345.0,1821.0,1973.0,1921.0,2150.0,2270.0,1869.0,1286.0,5.0,0.0,-9.192538646578424,-16.13746197901174,0.0,0.0,32.54570007324219,286.0,0.0052853115,0
379.0,517.0,788.0,671.0,1314.0,2247.0,2634.0,2715.0,2816.0,2980.0,1933.0,1099.0,4.0,0.0,-8.498308393211632,-15.413685864988524,0.0,0.0,36.001827239990234,317.0,0.024564646,0
555.0,566.0,769.0,762.0,1205.0,2038.0,2333.0,2376.0,2651.0,2754.0,2492.0,1621.0,5.0,0.0,-8.332307783163433,-15.060753603060586,0.0,0.0,31.17144775390625,302.0,0.010421896,0
864.7692307692307,733.6153846153846,991.8461538461538,1121.75,1506.5,1632.2857142857142,1821.6666666666667,1578.0,1897.4285714285713,2466.3333333333335,2254.0,1801.0,5.0,0.0,-13.939649105218791,-19.58385137114708,0.0,0.0,33.421390533447266,291.0,0.0358058,0
448.9318181818182,476.72,675.5,667.0,1192.6,1807.625,2029.2857142857142,2127.4285714285716,2249.5714285714284,2243.652777777778,2124.25,1307.25,4.0,0.0,-8.233372787881924,-15.048064521046296,0.0,0.0,40.05686569213867,513.0,0.007884303,0
586.0,688.0,970.0,1003.0,1520.0,2384.0,2685.0,2815.0,3054.0,3044.0,3059.0,1977.0,5.0,0.0,-12.241403910345047,-18.77270466054825,0.0,0.0,42.99092483520508,310.0,0.01666818,0
654.5,844.5,1103.5,1293.5,1660.5,2161.5,2393.0,2530.0,2762.5,2712.0,3302.5,2375.0,5.0,0.0,-10.602840460687265,-18.025422389142133,0.0,0.0,32.17170715332031,322.0,0.032640282,0
612.0,726.0,917.0,1117.0,1486.0,1900.0,2151.0,2230.0,2392.0,2411.0,2621.0,1831.0,5.0,0.0,-10.587822287463428,-16.94267197392781,0.0,0.0,31.886795043945312,312.0,0.02572861,0
317.1666666666667,435.0,697.8636363636364,684.4545454545455,1220.0,1935.5,2200.75,2276.625,2461.777777777778,2502.9375,2290.8333333333335,1298.5,4.0,0.0,-8.16142974212513,-14.643498175255365,0.0,0.0,39.50110626220703,504.0,0.012870019,0
533.5,659.5,903.5,920.5,1373.0,1953.5,2194.5,2259.5,2481.0,2378.5,2775.0,1821.5,5.0,0.0,-12.88093321921475,-19.822325870083887,0.0,0.0,35.73604965209961,268.0,0.024962453,0
421.0,496.0,645.0,625.0,1037.0,1570.0,1760.0,2007.0,2011.0,2147.0,2227.0,1379.0,5.0,0.0,-7.1600458098584765,-14.508022776412519,0.0,0.0,36.89208984375,352.0,0.013262344,0
444.0023923444976,543.9230769230769,735.2857142857143,779.875,1174.8,1884.5714285714287,2125.125,2118.8,2445.6666666666665,2484.3636363636365,2161.6666666666665,1340.25,4.0,0.0,-9.962260519789734,-16.638894737192615,0.0,0.0,30.800724029541016,322.0,0.011505183,0
524.0,676.0,909.0,1119.0,1512.0,2083.0,2357.0,2487.0,2696.0,2614.0,2929.0,1992.0,5.0,0.0,-9.505741169920912,-16.963365536585975,0.0,0.0,33.535011291503906,280.0,0.029871788,0
663.0,821.0,1100.0,1310.0,1622.0,2238.0,2521.0,2556.0,2810.0,2781.0,2996.0,2138.0,5.0,0.0,-9.517010838589595,-17.04457081672991,0.0,0.0,31.71249008178711,298.0,0.027036294,0
389.0,476.0,633.0,601.0,983.0,1766.0,1991.0,2216.0,2208.0,2498.0,2001.0,1221.0,5.0,0.0,-7.430793358929657,-14.372870527770218,0.0,0.0,36.02934646606445,350.0,0.0035176896,0
520.0,562.0,770.0,690.0,1214.0,2138.0,2459.0,2630.0,2728.0,2799.0,2495.0,1560.0,5.0,0.0,-7.9301494254092475,-14.804927955876803,0.0,0.0,38.4803466796875,411.0,0.00021554618,0
675.0,582.5,839.5,630.5,1229.0,2568.0,2884.5,2981.0,2985.0,2887.5,1869.5,1040.5,4.0,0.0,-8.951621605355333,-15.692977791029403,0.0,0.0,35.09701156616211,340.0,0.034110386,0
569.6875,574.85,795.7692307692307,859.125,1247.1,1890.4285714285713,2068.4,2155.0,2341.2,2299.345238095238,2106.833333333333,1449.3333333333333,5.0,0.0,-9.942265893747255,-17.82872283340019,0.0,0.0,39.91556167602539,309.0,0.009005738,0
671.0,708.0,886.5,1022.5,1401.5,2179.5,2718.5,2692.5,2965.5,2928.5,2628.5,1636.5,5.0,0.0,-10.036568458575076,-17.02691551572435,0.0,0.0,31.191814422607422,332.0,0.0082404,0
658.1818181818181,821.0,1103.888888888889,1396.3333333333333,1798.3333333333333,2354.25,2625.875,2899.2,3027.0,2883.818181818182,3464.666666666667,2500.5,5.0,0.0,-10.062946850631514,-17.306034957594992,0.0,0.0,34.06245040893555,305.0,0.031328678,0
